policy,fraction,cumulative_gain,centered_qini,unit,sample_scope
response,0.2599997640405693,0.001082076581229013,0.0007931183729530326,incremental_conversions_per_test_row,held_out_test
response,0.26999979621685527,0.0010791323459082285,0.0007790603145446591,incremental_conversions_per_test_row,held_out_test
response,0.2799998283931413,0.0010789921442262858,0.0007678062897751275,incremental_conversions_per_test_row,held_out_test
response,0.2899998605694273,0.001082777589638722,0.0007604779120999747,incremental_conversions_per_test_row,held_out_test
response,0.2999998927457133,0.00108333839636649,0.0007499248957401538,incremental_conversions_per_test_row,held_out_test
response,0.3099999249219993,0.0010846002115039687,0.0007400728877900435,incremental_conversions_per_test_row,held_out_test
response,0.3199999570982853,0.0010836187997303737,0.0007279776529288595,incremental_conversions_per_test_row,held_out_test
response,0.3299999892745713,0.0010853012199136785,0.0007185462500245755,incremental_conversions_per_test_row,held_out_test
response,0.3399996639365684,0.001089927875417767,0.0007120594797748524,incremental_conversions_per_test_row,held_out_test
response,0.34999969611285436,0.0010917504972830137,0.00070276827855251,incremental_conversions_per_test_row,held_out_test
response,0.3599997282891404,0.0010910494888733031,0.0006909534470552106,incremental_conversions_per_test_row,held_out_test
response,0.3699997604654264,0.0010924515056927235,0.0006812416407870421,incremental_conversions_per_test_row,held_out_test
response,0.3799997926417124,0.001093292715784376,0.0006709690277911056,incremental_conversions_per_test_row,held_out_test
response,0.3899998248179984,0.0010938535225121441,0.0006604160114312848,incremental_conversions_per_test_row,held_out_test
response,0.3999998569942844,0.0010967977578329278,0.0006522464236644794,incremental_conversions_per_test_row,held_out_test
response,0.4099998891705704,0.0011001625981995374,0.0006444974409435002,incremental_conversions_per_test_row,held_out_test
response,0.41999992134685643,0.0010962369511051588,0.0006294579707615325,incremental_conversions_per_test_row,held_out_test
response,0.4299999535231424,0.0010946947326037958,0.0006168019291725806,incremental_conversions_per_test_row,held_out_test
response,0.43999998569942844,0.001093993724194085,0.0006049870976752809,incremental_conversions_per_test_row,held_out_test
response,0.44999966036142547,0.0010948349342857376,0.0005947148820131219,incremental_conversions_per_test_row,held_out_test
response,0.4599996925377115,0.0010921711023288375,0.0005809372269686329,incremental_conversions_per_test_row,held_out_test
response,0.4699997247139975,0.00109301231242049,0.0005706646139726965,incremental_conversions_per_test_row,held_out_test
response,0.4799997568902835,0.001091890698964953,0.0005584291774295705,incremental_conversions_per_test_row,held_out_test
response,0.4899997890665695,0.0010939937241940842,0.0005494183795711127,incremental_conversions_per_test_row,held_out_test
response,0.4999998212428555,0.0010949751359676785,0.0005392859682571181,incremental_conversions_per_test_row,held_out_test
response,0.5099998534191416,0.0010970781611968096,0.0005302751703986602,incremental_conversions_per_test_row,held_out_test
response,0.5199998855954275,0.0010987605813801147,0.0005208437674943763,incremental_conversions_per_test_row,held_out_test
response,0.5299999177717135,0.0011025460267925506,0.0005135153898192233,incremental_conversions_per_test_row,held_out_test
response,0.5399999499479995,0.0011026862284744924,0.0005025417684135763,incremental_conversions_per_test_row,held_out_test
response,0.5499999821242856,0.0011060510688411023,0.0004947927856925971,incremental_conversions_per_test_row,held_out_test
response,0.5599996567862826,0.0011068922789327547,0.0004845205700304379,incremental_conversions_per_test_row,held_out_test
response,0.5699996889625686,0.0011081540940702335,0.00047466856208032773,incremental_conversions_per_test_row,held_out_test
response,0.5799997211388546,0.001109415909207712,0.00046481655413021746,incremental_conversions_per_test_row,held_out_test
response,0.5899997533151407,0.0011102571192993646,0.00045454394113428093,incremental_conversions_per_test_row,held_out_test
response,0.5999997854914266,0.0011102571192993646,0.00044343011804669197,incremental_conversions_per_test_row,held_out_test
response,0.6099998176677126,0.0011102571192993646,0.0004323162949591031,incremental_conversions_per_test_row,held_out_test
response,0.6199998498439986,0.0011091355058438278,0.0004200808584159774,incremental_conversions_per_test_row,held_out_test
response,0.6299998820202847,0.0011080138923882908,0.0004078454218728513,incremental_conversions_per_test_row,held_out_test
response,0.6399999141965707,0.0011060510688411015,0.00039476877523807316,incremental_conversions_per_test_row,held_out_test
response,0.6499999463728566,0.0011060510688411015,0.0003836549521504842,incremental_conversions_per_test_row,held_out_test
response,0.6599999785491426,0.001106892278932754,0.0003733823391545479,incremental_conversions_per_test_row,held_out_test
response,0.6699996532111397,0.0011061912705230433,0.0003615679049910254,incremental_conversions_per_test_row,held_out_test
response,0.6799996853874257,0.0011070324806146958,0.0003512952919950891,incremental_conversions_per_test_row,held_out_test
response,0.6899997175637117,0.0011082942957521744,0.0003414432840449787,incremental_conversions_per_test_row,held_out_test
response,0.6999997497399977,0.0011059108671591588,0.0003279460323643743,incremental_conversions_per_test_row,held_out_test
response,0.7099997819162838,0.001106331472204985,0.0003172528143226115,incremental_conversions_per_test_row,held_out_test
response,0.7199998140925697,0.0011056304637952743,0.0003054379828253118,incremental_conversions_per_test_row,held_out_test
response,0.7299998462688557,0.0011064716738869269,0.00029516536982937547,incremental_conversions_per_test_row,held_out_test
response,0.7399998784451417,0.0011064716738869269,0.0002840515467417865,incremental_conversions_per_test_row,held_out_test
response,0.7499999106214278,0.0011073128839785794,0.00027377893374585,incremental_conversions_per_test_row,held_out_test
response,0.7599999427977138,0.0011089953041618843,0.00026434753084156597,incremental_conversions_per_test_row,held_out_test
response,0.7699999749739997,0.001110257119299363,0.0002544955228914558,incremental_conversions_per_test_row,held_out_test
response,0.7799996496359968,0.001109135505843826,0.00024226048368210728,incremental_conversions_per_test_row,held_out_test
response,0.7899996818122829,0.0011099767159354786,0.00023198787068617074,incremental_conversions_per_test_row,held_out_test
response,0.7999997139885688,0.001110817926027131,0.0002217152576902342,incremental_conversions_per_test_row,held_out_test
response,0.8099997461648548,0.001110817926027131,0.00021060143460264525,incremental_conversions_per_test_row,held_out_test
response,0.8199997783411408,0.0011112385310729572,0.00019990821656088256,incremental_conversions_per_test_row,held_out_test
response,0.8299998105174269,0.0011116591361187834,0.00018921499851911987,incremental_conversions_per_test_row,held_out_test
response,0.8399998426937129,0.0011096963125715941,0.0001761383518843416,incremental_conversions_per_test_row,held_out_test
response,0.8499998748699988,0.0011101169176174204,0.0001654451338425789,incremental_conversions_per_test_row,held_out_test
response,0.8599999070462848,0.0011101169176174204,0.00015433131075499006,incremental_conversions_per_test_row,held_out_test
response,0.8699999392225709,0.0011101169176174204,0.000143217487667401,incremental_conversions_per_test_row,held_out_test
response,0.8799999713988569,0.0011105375226632466,0.0001325242696256384,incremental_conversions_per_test_row,held_out_test
response,0.8899996460608539,0.0011109581277090727,0.00012183144891765281,incremental_conversions_per_test_row,held_out_test
response,0.8999996782371399,0.001111378732754899,0.00011113823087589023,incremental_conversions_per_test_row,held_out_test
response,0.909999710413426,0.001111378732754899,0.00010002440778830116,incremental_conversions_per_test_row,held_out_test
